county,type,facility_name,street_address,city,state,zip,location,lat,long
New York,Pharmacy Only,Duane Reade #14319,W 20th St,New York,NY,10011,"W 20th St
New York, NY 10011
(40.743235574, -73.999409847)",40.743235574,-73.999409847
Kings,Pharmacy Only,Americare Pharmacy Corp.,5th Ave,Brooklyn,NY,11209,"5th Ave
Brooklyn, NY 11209
(40.624133373, -74.024829246)",40.624133373,-74.024829246
Bronx,Pharmacy Only,CSS Pharmacy Inc.,Grand Concourse,Bronx,NY,10453,"Grand Concourse
Bronx, NY 10453
(40.85073624, -73.905170701)",40.85073624,-73.905170701
New York,Pharmacy Only,Duane Reade #14503,3rd Ave,New York,NY,10017,"3rd Ave
New York, NY 10017
(40.750940493, -73.974311201)",40.750940493,-73.974311201
Bronx,Pharmacy Only,Defranco Pharmacy,Randall Avenue,Bronx,NY,10473,"Randall Avenue
Bronx, NY 10473
(40.818259241, -73.853788758)",40.818259241,-73.853788758
Queens,Pharmacy Only,Walgreens #11126,Kissena Blvd,Flushing,NY,11367,"Kissena Blvd
Flushing, NY 11367
(40.727158729, -73.812517473)",40.727158729,-73.812517473
Kings,Pharmacy Only,"A.M. Pharmacy, Inc.",8th Ave,Brooklyn,NY,11220,"8th Ave
Brooklyn, NY 11220
(40.637397818, -74.007554402)",40.637397818,-74.007554402
Bronx,Pharmacy Only,Peace Pharmacy Inc,University Avenue,Bronx,NY,10468,"University Avenue
Bronx, NY 10468
(40.866469572, -73.902462648)",40.866469572,-73.902462648
Queens,Pharmacy Only,Duane Reade #14206,Beach Channel Dr,Far Rockaway,NY,11694,"Beach Channel Dr
Far Rockaway, NY 11694
(40.581688886, -73.840126751)",40.581688886,-73.840126751
Kings,Pharmacy Only,Walgreens #10678,Myrtle Ave,Brooklyn,NY,11205,"Myrtle Ave
Brooklyn, NY 11205
(40.693123863, -73.969930633)",40.693123863,-73.969930633
New York,Pharmacy Only,Duane Reade #14118,Broadway,New York,NY,10007,"Broadway
New York, NY 10007
(40.712520006, -74.00767001)",40.712520006,-74.00767001
Queens,Pharmacy Only,Jackson Heights Pharmacy & Surgical,Roosevelt Avenue,Jackson Heights,NY,11372,"Roosevelt Avenue
Jackson Heights, NY 11372
(40.747096878, -73.888987581)",40.747096878,-73.888987581
New York,Pharmacy Only,Duane Reade #14468,Union Square South,New York,NY,10003,"Union Square South
New York, NY 10003
(40.734799984, -73.990700009)",40.734799984,-73.990700009
Queens,Pharmacy Only,Healthmax Pharmacy,Jamaica Av,Woodhaven,NY,11421,"Jamaica Av
Woodhaven, NY 11421
(40.692639509, -73.857066388)",40.692639509,-73.857066388
New York,Pharmacy Only,Canal Pharmacy Inc.,Canal Street,New York,NY,10013,"Canal Street
New York, NY 10013
(40.722926572, -74.006777245)",40.722926572,-74.006777245
New York,Pharmacy Only,Duane Reade #14412,Greenwich St,New York,NY,10013,"Greenwich St
New York, NY 10013
(40.721872682, -74.009834763)",40.721872682,-74.009834763
Bronx,Pharmacy Only,Walgreens # 10411,E Fordham Rd,Bronx,NY,10458,"E Fordham Rd
Bronx, NY 10458
(40.86075613, -73.889558393)",40.86075613,-73.889558393
Queens,Pharmacy Only,"Pharmacare Plus, Inc.",21 Ave,Astoria,NY,11105,"21 Ave
Astoria, NY 11105
(40.777352955, -73.907595541)",40.777352955,-73.907595541
Queens,Pharmacy Only,Walgreens #04565,Guy R Brewer Blvd,Jamaica,NY,11434,"Guy R Brewer Blvd
Jamaica, NY 11434
(40.672801094, -73.775240654)",40.672801094,-73.775240654
New York,Pharmacy Only,St. Anthony Pharmacy,Broadway,New York,NY,10032,"Broadway
New York, NY 10032
(40.837924012, -73.942152848)",40.837924012,-73.942152848
Kings,Pharmacy Only,Walgreens #18135,86th St,Brooklyn,NY,11228,"86th St
Brooklyn, NY 11228
(40.615406696, -74.016107932)",40.615406696,-74.016107932
New York,Pharmacy Only,Duane Reade #14125,Broad St,New York,NY,10004,"Broad St
New York, NY 10004
(40.704031481, -74.011570026)",40.704031481,-74.011570026
New York,Pharmacy Only,Duane Reade #14181,Amsterdam Ave,New York,NY,10023,"Amsterdam Ave
New York, NY 10023
(40.774170496, -73.984887021)",40.774170496,-73.984887021
Bronx,Pharmacy Only,Sjs Pharmacy Inc,East Burnside Avenue,Bronx,NY,10453,"East Burnside Avenue
Bronx, NY 10453
(40.853109233, -73.905502168)",40.853109233,-73.905502168
Bronx,Pharmacy Only,West Street Pharmacy,West 183 Street,Bronx,NY,10453,"West 183 Street
Bronx, NY 10453
(40.859957526, -73.908448889)",40.859957526,-73.908448889
Queens,Pharmacy Only,Van Wyck Prescription Center,Van Wyck Expressway,Richmond Hill,NY,11418,"Van Wyck Expressway
Richmond Hill, NY 11418
(40.699362385, -73.81496174)",40.699362385,-73.81496174
Queens,Pharmacy Only,Walgreens #19694,Queens Boulevard,Forest Hills,NY,11375,"Queens Boulevard
Forest Hills, NY 11375
(40.718826368, -73.837854521)",40.718826368,-73.837854521
Kings,Pharmacy Only,Yafit Pharmacy,East 7th Street,Brooklyn,NY,11223,"East 7th Street
Brooklyn, NY 11223
(40.600449445, -73.964563079)",40.600449445,-73.964563079
Bronx,Pharmacy Only,Bridge Rx Pharmacy Inc.,Allerton Avenue,Bronx,NY,10467,"Allerton Avenue
Bronx, NY 10467
(40.865453963, -73.86597942)",40.865453963,-73.86597942
New York,Pharmacy Only,Duane Reade #14146,Broadway,New York,NY,10025,"Broadway
New York, NY 10025
(40.797856, -73.968968)",40.797856,-73.968968
Bronx,Pharmacy Only,161st Pharmacy & Surgical Supplies,East 161st Street,Bronx,NY,10451,"East 161st Street
Bronx, NY 10451
(40.826442846, -73.921289644)",40.826442846,-73.921289644
New York,Pharmacy Only,Buy-Rite Pharmacy,Chatham Sq,New York,NY,10038,"Chatham Sq
New York, NY 10038
(40.713739992, -73.99795002)",40.713739992,-73.99795002
Queens,Pharmacy Only,Victoria Pharmacy,Kissena Blvd,Flushing,NY,11355,"Kissena Blvd
Flushing, NY 11355
(40.755328445, -73.824509811)",40.755328445,-73.824509811
Kings,Pharmacy Only,Walgreens #2650,Avenue U,Brooklyn,NY,11234,"Avenue U
Brooklyn, NY 11234
(40.612383336, -73.918590972)",40.612383336,-73.918590972
New York,Pharmacy Only,Duane Reade #14524,Broadway,New York,NY,10019,"Broadway
New York, NY 10019
(40.76375668, -73.982619065)",40.76375668,-73.982619065
New York,Pharmacy Only,"Metropharm, Inc.",Walker St,New York,NY,10013,"Walker St
New York, NY 10013
(40.718529191, -74.002310787)",40.718529191,-74.002310787
Bronx,Pharmacy Only,1st Aid Pharmacy & Surgical Supplie,West Fordham Road,Bronx,NY,10468,"West Fordham Road
Bronx, NY 10468
(40.86274183, -73.908768937)",40.86274183,-73.908768937
Kings,Pharmacy Only,Walgreens #13752,Flatbush Ave,Brooklyn,NY,11234,"Flatbush Ave
Brooklyn, NY 11234
(40.618684153, -73.932574171)",40.618684153,-73.932574171
Bronx,Pharmacy Only,"Wecare Rx Plus, Inc",Westchester Avenue,Bronx,NY,10461,"Westchester Avenue
Bronx, NY 10461
(40.84667827, -73.832720631)",40.84667827,-73.832720631
Queens,Pharmacy Only,Catalpa Chemists Corp.,Catalpa Avenue,Ridgewood,NY,11385,"Catalpa Avenue
Ridgewood, NY 11385
(40.703199091, -73.89840105)",40.703199091,-73.89840105
Kings,Pharmacy Only,Duane Reade #14128,Fulton St,Brooklyn,NY,11201,"Fulton St
Brooklyn, NY 11201
(40.690243054, -73.984309551)",40.690243054,-73.984309551
New York,Pharmacy Only,Duane Reade #14276,Broadway,New York,NY,10001,"Broadway
New York, NY 10001
(40.747233189, -73.988366138)",40.747233189,-73.988366138
Queens,Pharmacy Only,Tazmi Pharmacy,Roosevelt Ave,Woodside,NY,11377,"Roosevelt Ave
Woodside, NY 11377
(40.745348898, -73.907306009)",40.745348898,-73.907306009
New York,Pharmacy Only,Duane Reade #14200,2nd Ave,New York,NY,10016,"2nd Ave
New York, NY 10016
(40.744170718, -73.976340142)",40.744170718,-73.976340142
Kings,Pharmacy Only,Nate's Pharmacy,Van Brunt St,Brooklyn,NY,11231,"Van Brunt St
Brooklyn, NY 11231
(40.678512856, -74.01151333)",40.678512856,-74.01151333
Bronx,Pharmacy Only,Bridge Care Pharmacy Inc,Boston Road,Bronx,NY,10475,"Boston Road
Bronx, NY 10475
(40.885506344, -73.829036156)",40.885506344,-73.829036156
Richmond,Pharmacy Only,Walgreens #06179,Richmond Ave,Staten Island,NY,10314,"Richmond Ave
Staten Island, NY 10314
(40.598887445, -74.162748744)",40.598887445,-74.162748744
Kings,Pharmacy Only,Family Pharmacy,Flatbush Ave,Brooklyn,NY,11226,"Flatbush Ave
Brooklyn, NY 11226
(40.646602568, -73.958112669)",40.646602568,-73.958112669
Kings,Pharmacy Only,"La Ruche Pharmacy, Inc.",Rockaway Parkway,Brooklyn,NY,11212,"Rockaway Parkway
Brooklyn, NY 11212
(40.659949643, -73.918817127)",40.659949643,-73.918817127
Bronx,Pharmacy Only,"Pelham Pharmacy, Inc.",White Plains Road,Bronx,NY,10462,"White Plains Road
Bronx, NY 10462
(40.853813784, -73.867714112)",40.853813784,-73.867714112
Kings,Pharmacy Only,"Geo Pharmacy, Inc.",Coney Island Av,Brooklyn,NY,11218,"Coney Island Av
Brooklyn, NY 11218
(40.642233074, -73.969645416)",40.642233074,-73.969645416
New York,Pharmacy Only,Duane Reade #21354,West 51st Street,New York,NY,10019,"West 51st Street
New York, NY 10019
(40.76330847, -73.986589411)",40.76330847,-73.986589411
Kings,Pharmacy Only,Rx Choice Pharmacy Inc.,Avenue U,Brooklyn,NY,11229,"Avenue U
Brooklyn, NY 11229
(40.600339695, -73.942702968)",40.600339695,-73.942702968
Bronx,Pharmacy Only,Bronx Family Pharmacy Corp,White Plains Road,Bronx,NY,10462,"White Plains Road
Bronx, NY 10462
(40.853813784, -73.867714112)",40.853813784,-73.867714112
Queens,Pharmacy Only,Walgreens #5051,Merrick Blvd,Laurelton,NY,11413,"Merrick Blvd
Laurelton, NY 11413
(40.677663119, -73.74510356)",40.677663119,-73.74510356
Bronx,Pharmacy Only,Leroy Pharmacy,East 204th Street,Bronx,NY,10467,"East 204th Street
Bronx, NY 10467
(40.872131927, -73.877772155)",40.872131927,-73.877772155
Richmond,Pharmacy Only,"Classic Pharmacy, Inc.",Clove Rd,Staten Island,NY,10301,"Clove Rd
Staten Island, NY 10301
(40.619882533, -74.108139524)",40.619882533,-74.108139524
Richmond,Pharmacy Only,Walgreens #13750,Amboy Rd,Staten Island,NY,10307,"Amboy Rd
Staten Island, NY 10307
(40.510303139, -74.243005835)",40.510303139,-74.243005835
New York,Pharmacy Only,Duane Reade #14408,Broadway,New York,NY,10013,"Broadway
New York, NY 10013
(40.719090014, -74.002104972)",40.719090014,-74.002104972
Kings,Pharmacy Only,Duane Reade #14410,Myrtle Ave,Brooklyn,NY,11206,"Myrtle Ave
Brooklyn, NY 11206
(40.696058921, -73.943251594)",40.696058921,-73.943251594
Queens,Pharmacy Only,Duane Reade #14438,Roosevelt Ave,Flushing,NY,11354,"Roosevelt Ave
Flushing, NY 11354
(40.76303365, -73.816888447)",40.76303365,-73.816888447
Bronx,Pharmacy Only,Truemed Pharmacy Corp,Webster Avenue,Bronx,NY,10457,"Webster Avenue
Bronx, NY 10457
(40.846857045, -73.901421686)",40.846857045,-73.901421686
New York,Pharmacy Only,Villy Kx Pharmacy,Hester Street,New York,NY,10013,"Hester Street
New York, NY 10013
(40.717981157, -73.997424258)",40.717981157,-73.997424258
Kings,Pharmacy Only,New Brooklyn Pharmacy Inc.,Flatbush Ave,Brooklyn,NY,11210,"Flatbush Ave
Brooklyn, NY 11210
(40.627100179, -73.941595472)",40.627100179,-73.941595472
New York,Pharmacy Only,Duane Reade #14499,Dyckman St,New York,NY,10040,"Dyckman St
New York, NY 10040
(40.865409985, -73.927169961)",40.865409985,-73.927169961
Bronx,Pharmacy Only,Nvr Pharmacy Inc.,Mt Eden Avenue,Bronx,NY,10452,"Mt Eden Avenue
Bronx, NY 10452
(40.843360726, -73.912188358)",40.843360726,-73.912188358
Bronx,Pharmacy Only,United Pharmacy Llc,Broadway,Bronx,NY,10463,"Broadway
Bronx, NY 10463
(40.881507219, -73.902970873)",40.881507219,-73.902970873
Kings,Pharmacy Only,"Brighton Rx, Inc.",Brighton Beach Avenue,Brooklyn,NY,11235,"Brighton Beach Avenue
Brooklyn, NY 11235
(40.57767129, -73.961194181)",40.57767129,-73.961194181
Kings,Pharmacy Only,Katz Drugs,Graham Ave,Brooklyn,NY,11206,"Graham Ave
Brooklyn, NY 11206
(40.706265813, -73.943035736)",40.706265813,-73.943035736
Queens,Pharmacy Only,"Mercy Pharmacy & Surgical Supplies,",51st Street,Woodside,NY,11377,"51st Street
Woodside, NY 11377
(40.75548943, -73.908383665)",40.75548943,-73.908383665
Bronx,Pharmacy Only,Mott Haven Pharmacy,East 141st Street,Bronx,NY,10454,"East 141st Street
Bronx, NY 10454
(40.808077853, -73.91451513)",40.808077853,-73.91451513
Kings,Pharmacy Only,Walgreens #11141,Broadway,Brooklyn,NY,11221,"Broadway
Brooklyn, NY 11221
(40.69447544, -73.93078414)",40.69447544,-73.93078414
Kings,Pharmacy Only,Livingword Pharmacy Inc,Utica Ave,Brooklyn,NY,11203,"Utica Ave
Brooklyn, NY 11203
(40.650159197, -73.930216953)",40.650159197,-73.930216953
New York,Pharmacy Only,Duane Reade #14194,Broadway #7,New York,NY,10025,"Broadway #7
New York, NY 10025
(40.807999191, -73.963712438)",40.807999191,-73.963712438
Bronx,Pharmacy Only,Walgreens # 12309,Eastchester Rd,Bronx,NY,10469,"Eastchester Rd
Bronx, NY 10469
(40.875179329, -73.84535421)",40.875179329,-73.84535421
Queens,Pharmacy Only,Walgreens #04058,Astoria Blvd,East Elmhurst,NY,11369,"Astoria Blvd
East Elmhurst, NY 11369
(40.762376675, -73.871186657)",40.762376675,-73.871186657
Queens,Pharmacy Only,Duane Reade #14314,Myrtle Ave,Ridgewood,NY,11385,"Myrtle Ave
Ridgewood, NY 11385
(40.702500624, -73.873977684)",40.702500624,-73.873977684
Kings,Pharmacy Only,"Marino Pharmacy, Inc.",Wyckoff Ave,Brooklyn,NY,11237,"Wyckoff Ave
Brooklyn, NY 11237
(40.703431233, -73.917829949)",40.703431233,-73.917829949
Bronx,Pharmacy Only,Walgreens #7627,Boston Rd,Bronx,NY,10469,"Boston Rd
Bronx, NY 10469
(40.869055167, -73.857998926)",40.869055167,-73.857998926
Bronx,Pharmacy Only,Perla Pharmacy,East Tremont Avenue,Bronx,NY,10460,"East Tremont Avenue
Bronx, NY 10460
(40.841624575, -73.883449118)",40.841624575,-73.883449118
New York,Pharmacy Only,Duane Reade #14104,Park Ave S,New York,NY,10016,"Park Ave S
New York, NY 10016
(40.743920094, -73.983569956)",40.743920094,-73.983569956
Queens,Pharmacy Only,Duane Reade #14423,Broadway,Astoria,NY,11106,"Broadway
Astoria, NY 11106
(40.763484339, -73.928562832)",40.763484339,-73.928562832
Queens,Pharmacy Only,Walgreens #02055,Francis Lewis Blvd,Queens Village,NY,11429,"Francis Lewis Blvd
Queens Village, NY 11429
(40.70495999, -73.75013)",40.70495999,-73.75013
Bronx,Pharmacy Only,Security Drugs,Boston Road,Bronx,NY,10469,"Boston Road
Bronx, NY 10469
(40.869055167, -73.857998926)",40.869055167,-73.857998926
New York,Pharmacy Only,Duane Reade #14417,W 125th St,New York,NY,10027,"W 125th St
New York, NY 10027
(40.81695014, -73.959426152)",40.81695014,-73.959426152
Bronx,Pharmacy Only,Amazing Pharmacy,East Tremont Avenue,Bronx,NY,10457,"East Tremont Avenue
Bronx, NY 10457
(40.847177139, -73.898829356)",40.847177139,-73.898829356
Kings,Pharmacy Only,Echo Drugs Inc.,Broadway,Brooklyn,NY,11211,"Broadway
Brooklyn, NY 11211
(40.707394123, -73.954927715)",40.707394123,-73.954927715
Queens,Pharmacy Only,Mil-Rue Chemists Inc.,Fresh Pond Rd,Ridgewood,NY,11385,"Fresh Pond Rd
Ridgewood, NY 11385
(40.706887204, -73.897125209)",40.706887204,-73.897125209
New York,Pharmacy Only,Duane Reade #14126,Wall Street,New York,NY,10005,"Wall Street
New York, NY 10005
(40.70711, -74.01061)",40.70711,-74.01061
Queens,Pharmacy Only,Vida Care Pharmacy Llc,90th Street,Jackson Heights,NY,11372,"90th Street
Jackson Heights, NY 11372
(40.752379373, -73.877205398)",40.752379373,-73.877205398
Queens,Pharmacy Only,County Pharmacy Corp.,Hempstead Ave,Queens Village,NY,11429,"Hempstead Ave
Queens Village, NY 11429
(40.713820171, -73.737517368)",40.713820171,-73.737517368
Queens,Pharmacy Only,Walgreens #17876,Myrtle Ave,Ridgewood,NY,11385,"Myrtle Ave
Ridgewood, NY 11385
(40.702500624, -73.873977684)",40.702500624,-73.873977684
Queens,Pharmacy Only,Walgreens #19794,Ditmars Boulevard,Astoria,NY,11105,"Ditmars Boulevard
Astoria, NY 11105
(40.775665734, -73.910044323)",40.775665734,-73.910044323
Bronx,Pharmacy Only,Rosa Pharmacy And Surgical Supply,East Mount Eden Avenue,Bronx,NY,10452,"East Mount Eden Avenue
Bronx, NY 10452
(40.84338868, -73.912623983)",40.84338868,-73.912623983
Kings,Pharmacy Only,Rxcircle Pharmacy Corp,7th Avenue,Brooklyn,NY,11220,"7th Avenue
Brooklyn, NY 11220
(40.639888085, -74.00857688)",40.639888085,-74.00857688
Kings,Pharmacy Only,Duane Reade #14432,5th Ave,Brooklyn,NY,11220,"5th Ave
Brooklyn, NY 11220
(40.641173283, -74.014396236)",40.641173283,-74.014396236
New York,Pharmacy Only,Duane Reade #14335,W 145th St,New York,NY,10039,"W 145th St
New York, NY 10039
(40.821851035, -73.939606819)",40.821851035,-73.939606819
Kings,Pharmacy Only,Walgreens #15352,Fulton St,Brooklyn,NY,11216,"Fulton St
Brooklyn, NY 11216
(40.680257406, -73.947077748)",40.680257406,-73.947077748
Bronx,Pharmacy Only,Randall Pharmacy,Randall Avenue,Bronx,NY,10473,"Randall Avenue
Bronx, NY 10473
(40.818259241, -73.853788758)",40.818259241,-73.853788758
Kings,Pharmacy Only,"Rafieh Pharmacy, Inc.",Lee Avenue,Brooklyn,NY,11211,"Lee Avenue
Brooklyn, NY 11211
(40.704744686, -73.958840853)",40.704744686,-73.958840853
Kings,Pharmacy Only,Walgreens # 11555,18th Ave,Brooklyn,NY,11204,"18th Ave
Brooklyn, NY 11204
(40.628494225, -73.980802461)",40.628494225,-73.980802461
Kings,Pharmacy Only,Mercy Pharmacy Inc.,18th Av,Brooklyn,NY,11204,"18th Av
Brooklyn, NY 11204
(40.628494225, -73.980802461)",40.628494225,-73.980802461
