County,Type,Facility Name,Street Address,City,State,ZIP,Location
Bronx,Grocery,Food Universe Marketplace,East Burnside Avenue,Bronx,NY,10453,"East Burnside Avenue
Bronx, NY 10453
(40.853109233, -73.905502168)"
Kings,Grocery,Hannan Deli & Grocery Corp.,Avenue U,Brooklyn,NY,11229,"Avenue U
Brooklyn, NY 11229
(40.600339695, -73.942702968)"
Kings,Grocery,Taqwa Deli Grocery & Halal Meat Mar,Fulton Street,Brooklyn,NY,11216,"Fulton Street
Brooklyn, NY 11216
(40.680257406, -73.947077748)"
Kings,Grocery,Fine Fare,Lincoln Avenue,Brooklyn,NY,11208,"Lincoln Avenue
Brooklyn, NY 11208
(40.672654942, -73.866427053)"
Queens,Grocery,Bally 868 Food Market Corp.,Roosevelt Ave,Flushing,NY,11354,"Roosevelt Ave
Flushing, NY 11354
(40.76303365, -73.816888447)"
Kings,Grocery,"Appel's Superette, Inc.",14th Avenue,Brooklyn,NY,11219,"14th Avenue
Brooklyn, NY 11219
(40.630274514, -73.993475503)"
Bronx,Grocery,Paradise Food Market,Williambridge Road,Bronx,NY,10469,"Williambridge Road
Bronx, NY 10469
(40.862814631, -73.857929396)"
Bronx,Grocery,Sabor Latino Deli Supermarket Corp,Longwood Avenue,Bronx,NY,10459,"Longwood Avenue
Bronx, NY 10459
(40.817759534, -73.898594024)"
Kings,Grocery,Liriano Deli Corp,4th St,Brooklyn,NY,11211,"4th St
Brooklyn, NY 11211
(40.708748914, -73.954329937)"
New York,Grocery,Associated Supermarket,West 100th St,New York,NY,10025,"West 100th St
New York, NY 10025
(40.79646344, -73.967943661)"
Kings,Grocery,Papa Firo Grocery Corp.,3rd Avenue,Brooklyn,NY,11217,"3rd Avenue
Brooklyn, NY 11217
(40.682477208, -73.982630309)"
Bronx,Grocery,Compare Foods,East Tremont Avenue,Bronx,NY,10453,"East Tremont Avenue
Bronx, NY 10453
(40.850754049, -73.907470438)"
New York,Grocery,Foodtown,Third Avenue,New York,NY,10035,"Third Avenue
New York, NY 10035
(40.801789522, -73.937215756)"
Queens,Grocery,Polo Supermarket,Mott Av,Far Rockaway,NY,11691,"Mott Av
Far Rockaway, NY 11691
(40.604006098, -73.752473959)"
Richmond,Grocery,La Quebradita Grocery Corp.,Jersey St,Staten Island,NY,10301,"Jersey St
Staten Island, NY 10301
(40.639567483, -74.087293472)"
Kings,Grocery,Bravo Supermarket,Myrtle Ave,Brooklyn,NY,11205,"Myrtle Ave
Brooklyn, NY 11205
(40.693123863, -73.969930633)"
Kings,Grocery,Shop Fair Supermarket,Fulton Street,Brooklyn,NY,11208,"Fulton Street
Brooklyn, NY 11208
(40.682521989, -73.876106933)"
New York,Grocery,Ideal Food Basket,Lexington Av,New York,NY,10029,"Lexington Av
New York, NY 10029
(40.792247918, -73.946281537)"
Queens,Grocery,Soribel Fruit & Grocery Inc,Cresskill Place,Jamaica,NY,11435,"Cresskill Place
Jamaica, NY 11435
(40.695898928, -73.809932951)"
Kings,Grocery,C-Town Supermarkets,Central Av,Brooklyn,NY,11221,"Central Av
Brooklyn, NY 11221
(40.695387071, -73.920398595)"
Kings,Grocery,Fresh Halal Meat & Grocery,Church Ave,Brooklyn,NY,11226,"Church Ave
Brooklyn, NY 11226
(40.647725722, -73.967413861)"
Bronx,Grocery,Bravo Supermarket,West 170th Street,Bronx,NY,10452,"West 170th Street
Bronx, NY 10452
(40.840348765, -73.922068623)"
Queens,Grocery,Key Food,Main St,Flushing,NY,11367,"Main St
Flushing, NY 11367
(40.732119616, -73.824486948)"
Bronx,Grocery,C-Town Supermarkets,Southern Boulevard,Bronx,NY,10460,"Southern Boulevard
Bronx, NY 10460
(40.836247923, -73.888440102)"
Queens,Grocery,Key Food Supermarket,Queens Boulevard,Jamaica,NY,11435,"Queens Boulevard
Jamaica, NY 11435
(40.706698459, -73.817065624)"
Bronx,Grocery,Hasan Supermarket Inc,Starling Avenue,Bronx,NY,10462,"Starling Avenue
Bronx, NY 10462
(40.836251334, -73.853296369)"
Queens,Grocery,Cherry Valley Market Place,97th Avenue,Ozone Park,NY,11416,"97th Avenue
Ozone Park, NY 11416
(40.68502967, -73.850075159)"
New York,Grocery,Fine Fare,Adam Clayton Powell Jr. Blvd,New York,NY,10030,"Adam Clayton Powell Jr. Blvd
New York, NY 10030
(40.817785195, -73.941787961)"
Bronx,Grocery,Ray's #1 Deli Grocery Llc,Barnes Avenue,Bronx,NY,10466,"Barnes Avenue
Bronx, NY 10466
(40.892284545, -73.85461132)"
Kings,Grocery,L&l Deli Grocery Inc,Avenue U,Brooklyn,NY,11229,"Avenue U
Brooklyn, NY 11229
(40.600339695, -73.942702968)"
Kings,Grocery,Key Food,Church Av,Brooklyn,NY,11212,"Church Av
Brooklyn, NY 11212
(40.655478672, -73.91581346)"
Kings,Grocery,Lucky 4502 Grocery Inc,6th Avenue,Brooklyn,NY,11220,"6th Avenue
Brooklyn, NY 11220
(40.639934907, -74.01208343)"
New York,Grocery,C-Town Supermarkets,St. James Pl,New York,NY,10038,"St. James Pl
New York, NY 10038
(40.712977885, -73.998496442)"
New York,Grocery,Fine Fare,First Ave,New York,NY,10035,"First Ave
New York, NY 10035
(40.799828752, -73.93263589)"
Queens,Grocery,Rachel Grocery Store Inc,Whitney Avenue,Elmhurst,NY,11373,"Whitney Avenue
Elmhurst, NY 11373
(40.744295321, -73.876722758)"
Kings,Grocery,Golden Farms,Crescent Street,Brooklyn,NY,11208,"Crescent Street
Brooklyn, NY 11208
(40.668878672, -73.868345151)"
Bronx,Grocery,Lili's Deli Grocery Corp,Kelly Street,Bronx,NY,10459,"Kelly Street
Bronx, NY 10459
(40.823380669, -73.89585404)"
Bronx,Grocery,Golden Produce Ii Llc,Grand Concourse,Bronx,NY,10457,"Grand Concourse
Bronx, NY 10457
(40.848473464, -73.906633977)"
Bronx,Grocery,Fine Fare Supermarket,Metropolitan Avenue,Bronx,NY,10462,"Metropolitan Avenue
Bronx, NY 10462
(40.835507081, -73.861019981)"
Kings,Grocery,Tasty Deli Supermarket Inc,86th Street,Brooklyn,NY,11214,"86th Street
Brooklyn, NY 11214
(40.605296074, -73.999391361)"
Queens,Grocery,T & C Grocery Inc.,Crocheron Ave,Flushing,NY,11358,"Crocheron Ave
Flushing, NY 11358
(40.762814008, -73.795864967)"
Queens,Grocery,B & B Grocery & Halal Meat Inc.,147th Place,Jamaica,NY,11435,"147th Place
Jamaica, NY 11435
(40.697531141, -73.80495272)"
Kings,Grocery,"Danish Convenience 6, Inc.",3rd Avenue,Brooklyn,NY,11209,"3rd Avenue
Brooklyn, NY 11209
(40.624059334, -74.030818893)"
Queens,Grocery,K C Foodmart Inc,Booth Memorial Ave,Flushing,NY,11355,"Booth Memorial Ave
Flushing, NY 11355
(40.745279649, -73.821702075)"
Kings,Grocery,"Rubin's Grocery, Inc.",15th Avenue,Brooklyn,NY,11219,"15th Avenue
Brooklyn, NY 11219
(40.628924223, -73.991258568)"
Kings,Grocery,Foodtown,Vanderbilt Avenue,Brooklyn,NY,11238,"Vanderbilt Avenue
Brooklyn, NY 11238
(40.677720868, -73.968839077)"
Queens,Grocery,Rosenblums Market,Lefferts Blvd,Kew Gardens,NY,11415,"Lefferts Blvd
Kew Gardens, NY 11415
(40.70638687, -73.831816085)"
Kings,Grocery,Key Food Fresh Supermarket,Marcus Garvey Blvd,Brooklyn,NY,11216,"Marcus Garvey Blvd
Brooklyn, NY 11216
(40.681805105, -73.937803689)"
Kings,Grocery,"Karim 1 Stop Mini-Mart, Inc.",5th Ave,Brooklyn,NY,11209,"5th Ave
Brooklyn, NY 11209
(40.624133373, -74.024829246)"
Queens,Grocery,Ji Li Grocery Inc.,Main St,Flushing,NY,11355,"Main St
Flushing, NY 11355
(40.754487704, -73.827950753)"
Queens,Grocery,Key Food,Liberty Avenue,South Richmond Hil,NY,11419,"Liberty Avenue
South Richmond Hil, NY 11419
(40.685869996, -73.825910033)"
Queens,Grocery,Key Food,37th Avenue,Corona,NY,11368,"37th Avenue
Corona, NY 11368
(40.758084995, -73.843264973)"
Kings,Grocery,"Queen A.A. Grocery, Inc.",18th Avenue,Brooklyn,NY,11204,"18th Avenue
Brooklyn, NY 11204
(40.628494225, -73.980802461)"
New York,Grocery,Associated Fresh Market,Madison Avenue,New York,NY,10029,"Madison Avenue
New York, NY 10029
(40.793608276, -73.949511218)"
Kings,Grocery,El Aguila Mini Market Corp.,Gates Av,Brooklyn,NY,11221,"Gates Av
Brooklyn, NY 11221
(40.688881177, -73.927403822)"
Kings,Grocery,Liberty Supermarket & Halal Meat In,Liberty Avenue,Brooklyn,NY,11208,"Liberty Avenue
Brooklyn, NY 11208
(40.677596884, -73.874627323)"
Queens,Grocery,Food Universe Marketplace,43rd Ave,Sunnyside,NY,11104,"43rd Ave
Sunnyside, NY 11104
(40.745174274, -73.920679341)"
Queens,Grocery,Key Food Supermarket,College Point Bo,College Point,NY,11356,"College Point Bo
College Point, NY 11356
(40.787485, -73.84471)"
Bronx,Grocery,Associated Supermarket,Richman Plaza,Bronx,NY,10453,"Richman Plaza
Bronx, NY 10453
(40.852049985, -73.92237109)"
New York,Grocery,Foodtown,Frederick Douglas Blvd,New York,NY,10027,"Frederick Douglas Blvd
New York, NY 10027
(40.809498493, -73.95166115)"
Kings,Grocery,Gregory Deli,New Utrecht Avenue,Brooklyn,NY,11219,"New Utrecht Avenue
Brooklyn, NY 11219
(40.633295913, -73.995170147)"
Kings,Grocery,"Kosher Corner Supermarket, Inc.",Mcdonald Avenue,Brooklyn,NY,11223,"Mcdonald Avenue
Brooklyn, NY 11223
(40.599466826, -73.972905604)"
Kings,Grocery,Parkville Food Center Llc,Lawrence Ave,Brooklyn,NY,11230,"Lawrence Ave
Brooklyn, NY 11230
(40.629907364, -73.975156469)"
Bronx,Grocery,1296 Rivera Grocery Inc.,Walton Avenue,Bronx,NY,10452,"Walton Avenue
Bronx, NY 10452
(40.836221534, -73.918578211)"
Kings,Grocery,Moon Convenience & Deli Inc.,New Utrecht Ave,Brooklyn,NY,11204,"New Utrecht Ave
Brooklyn, NY 11204
(40.61673601, -73.999676197)"
Kings,Grocery,Key Food,Avenue U,Brooklyn,NY,11234,"Avenue U
Brooklyn, NY 11234
(40.612383336, -73.918590972)"
Bronx,Grocery,Jjn Corporation,Washington Avenue,Bronx,NY,10457,"Washington Avenue
Bronx, NY 10457
(40.846491224, -73.898356534)"
Queens,Grocery,Farmbria By Food Bazaar,Linden Boulevard,Cambria Heights,NY,11411,"Linden Boulevard
Cambria Heights, NY 11411
(40.694255497, -73.737275452)"
Kings,Grocery,King Hwy Meat Corp.,East 16th St,Brooklyn,NY,11229,"East 16th St
Brooklyn, NY 11229
(40.59793854, -73.955287635)"
Queens,Grocery,Milk Farm Supermarket,Liberty Av,Ozone Park,NY,11417,"Liberty Av
Ozone Park, NY 11417
(40.682434374, -73.836058628)"
Queens,Grocery,C-Town Supermarkets,Jamaica Ave,Woodhaven,NY,11421,"Jamaica Ave
Woodhaven, NY 11421
(40.692639509, -73.857066388)"
Kings,Grocery,Food Bazaar,Flatbush Ave,Brooklyn,NY,11226,"Flatbush Ave
Brooklyn, NY 11226
(40.646602568, -73.958112669)"
Kings,Grocery,Food Bazaar,Van Brunt St,Brooklyn,NY,11231,"Van Brunt St
Brooklyn, NY 11231
(40.678512856, -74.01151333)"
Kings,Grocery,Key Food,Kings Highway,Brooklyn,NY,11223,"Kings Highway
Brooklyn, NY 11223
(40.60513316, -73.979811784)"
Kings,Grocery,Ideal Food Basket,East New York Avenue,Brooklyn,NY,11203,"East New York Avenue
Brooklyn, NY 11203
(40.662398499, -73.937195678)"
Kings,Grocery,Foodtown #602,Fulton St,Brooklyn,NY,11216,"Fulton St
Brooklyn, NY 11216
(40.680257406, -73.947077748)"
Kings,Grocery,Bravo Supermarket,Fulton St,Brooklyn,NY,11208,"Fulton St
Brooklyn, NY 11208
(40.682521989, -73.876106933)"
Kings,Grocery,Food Universe,Schenectady Ave,Brooklyn,NY,11213,"Schenectady Ave
Brooklyn, NY 11213
(40.67154842, -73.933628046)"
Kings,Grocery,EZ Market Inc.,6th Ave,Brooklyn,NY,11220,"6th Ave
Brooklyn, NY 11220
(40.639934907, -74.01208343)"
Bronx,Grocery,Madina Trading Corp,East 165th Street,Bronx,NY,10456,"East 165th Street
Bronx, NY 10456
(40.828543908, -73.914104734)"
Queens,Grocery,Target Store T-2451,College Point Blvd,Flushing,NY,11354,"College Point Blvd
Flushing, NY 11354
(40.765348097, -73.837202043)"
New York,Grocery,Food Bazaar,East 125th Street,New York,NY,10035,"East 125th Street
New York, NY 10035
(40.804089721, -73.936729391)"
Queens,Grocery,C-Town Supermarkets,28th Ave,Astoria,NY,11103,"28th Ave
Astoria, NY 11103
(40.764917668, -73.912505743)"
Queens,Grocery,Key Food,Baisley Boulevard,Jamaica,NY,11434,"Baisley Boulevard
Jamaica, NY 11434
(40.677376299, -73.780914427)"
Bronx,Grocery,Bravo Supermarket,East Burnside Avenue,Bronx,NY,10457,"East Burnside Avenue
Bronx, NY 10457
(40.851333534, -73.902155417)"
Queens,Grocery,New Candy City Store Inc,"37th Ave Unit, Co-1d",Jackson Heights,NY,11372,"37th Ave Unit, Co-1d
Jackson Heights, NY 11372
(40.749864797, -73.883149449)"
New York,Grocery,"El Manantial Grocery Store, Inc.",Audubon Ave,New York,NY,10033,"Audubon Ave
New York, NY 10033
(40.848017477, -73.932866751)"
Queens,Grocery,C-Town Supermarkets,34th Ave,Astoria,NY,11106,"34th Ave
Astoria, NY 11106
(40.76158882, -73.931292248)"
Queens,Grocery,Trade Fair #11,Metropolitan Ave,Richmond Hill,NY,11418,"Metropolitan Ave
Richmond Hill, NY 11418
(40.708532049, -73.838893279)"
Queens,Grocery,Trade Fair,Astoria Blvd.,East Elmhurst,NY,11369,"Astoria Blvd.
East Elmhurst, NY 11369
(40.762376675, -73.871186657)"
Bronx,Grocery,Superfresh,East 149th Street,Bronx,NY,10455,"East 149th Street
Bronx, NY 10455
(40.812472163, -73.905399848)"
Bronx,Grocery,La Antillana Meat Market,East Tremont Avenue,Bronx,NY,10457,"East Tremont Avenue
Bronx, NY 10457
(40.847177139, -73.898829356)"
Bronx,Grocery,C-Town Supermarkets,Southern Boulevard,Bronx,NY,10459,"Southern Boulevard
Bronx, NY 10459
(40.82386322, -73.891859421)"
Kings,Grocery,Latino's Deli Grocery,Fort Hamilton Parkway,Brooklyn,NY,11218,"Fort Hamilton Parkway
Brooklyn, NY 11218
(40.642676052, -73.991211188)"
Kings,Grocery,16th Ave. Food Center,16th Ave,Brooklyn,NY,11204,"16th Ave
Brooklyn, NY 11204
(40.6259069, -73.99080976)"
Queens,Grocery,Cherry Valley Farm,21st Avenue,Astoria,NY,11105,"21st Avenue
Astoria, NY 11105
(40.777352955, -73.907595541)"
Queens,Grocery,"G & G Grocery Store, Inc.",Grand Ave,Elmhurst,NY,11373,"Grand Ave
Elmhurst, NY 11373
(40.733842963, -73.883514476)"
Bronx,Grocery,West Farm Fruit Market Corp,East 167th Street,Bronx,NY,10459,"East 167th Street
Bronx, NY 10459
(40.826008787, -73.895672806)"
Kings,Grocery,Key Food,Mcguinness Boulevard,Brooklyn,NY,11222,"Mcguinness Boulevard
Brooklyn, NY 11222
(40.730182396, -73.951255787)"
Kings,Grocery,Ocean Fruit & Supermarket Inc.,Ocean Avenue,Brooklyn,NY,11230,"Ocean Avenue
Brooklyn, NY 11230
(40.626621899, -73.95654992)"
Richmond,Grocery,Olive Tree Market Place,Clove Road,Staten Island,NY,10301,"Clove Road
Staten Island, NY 10301
(40.619882533, -74.108139524)"
Queens,Grocery,Key Food,Merrick Blvd,Laurelton,NY,11413,"Merrick Blvd
Laurelton, NY 11413
(40.677663119, -73.74510356)"
Kings,Grocery,Cherry Valley Market Place,Pennsylvania Ave,Brooklyn,NY,11207,"Pennsylvania Ave
Brooklyn, NY 11207
(40.664798077, -73.894062001)"
New York,Grocery,Fine Fare Supermarket,Broadway,New York,NY,10034,"Broadway
New York, NY 10034
(40.868737696, -73.917929147)"
Richmond,Grocery,Frutas Y Abarrotes Mexico Ltd.,Victory Blvd,Staten Island,NY,10301,"Victory Blvd
Staten Island, NY 10301
(40.625627129, -74.092403522)"
Kings,Grocery,J & F Mini Market,Fulton Street,Brooklyn,NY,11208,"Fulton Street
Brooklyn, NY 11208
(40.682521989, -73.876106933)"
Kings,Grocery,Schwartz Grocery,Lee Avenue,Brooklyn,NY,11211,"Lee Avenue
Brooklyn, NY 11211
(40.704744686, -73.958840853)"
Kings,Grocery,183 Wyckoff Meat Corp.,Wyckoff Ave,Brooklyn,NY,11237,"Wyckoff Ave
Brooklyn, NY 11237
(40.703431233, -73.917829949)"
Bronx,Grocery,Pioneer Supermarket,Jerome Avenue,Bronx,NY,10453,"Jerome Avenue
Bronx, NY 10453
(40.854342642, -73.906918625)"
Queens,Grocery,Treasure Group Inc,Jamaica Avenue,Richmond Hill,NY,11418,"Jamaica Avenue
Richmond Hill, NY 11418
(40.697910308, -73.835528358)"
Kings,Grocery,Jenny's Food Market Inc.,41st St,Brooklyn,NY,11219,"41st St
Brooklyn, NY 11219
(40.643504537, -73.994095862)"
Kings,Grocery,Mary Grocery Inc,Fort Hamilton Pkwy,Brooklyn,NY,11219,"Fort Hamilton Pkwy
Brooklyn, NY 11219
(40.635448124, -74.002042816)"
Queens,Grocery,Shop Fair Supermarket Market Place,Seneca Av,Ridgewood,NY,11385,"Seneca Av
Ridgewood, NY 11385
(40.710655011, -73.920980009)"
Queens,Grocery,C-Town Supermarkets,Roosevelt Ave,Woodside,NY,11377,"Roosevelt Ave
Woodside, NY 11377
(40.745348898, -73.907306009)"
Kings,Grocery,Ctown Supermarket,Pitkin Avenue,Brooklyn,NY,11207,"Pitkin Avenue
Brooklyn, NY 11207
(40.672278824, -73.893402436)"
Kings,Grocery,Brooklyn Harvest Market,Metropolitan Avenue,Brooklyn,NY,11211,"Metropolitan Avenue
Brooklyn, NY 11211
(40.714547412, -73.937480904)"
Kings,Grocery,The Food Emporium,5th Av,Brooklyn,NY,11209,"5th Av
Brooklyn, NY 11209
(40.624133373, -74.024829246)"
Bronx,Grocery,Nongsa Corp,West 183rd Street,Bronx,NY,10453,"West 183rd Street
Bronx, NY 10453
(40.859957526, -73.908448889)"
Queens,Grocery,Food Bazaar,Junction Blvd,Corona,NY,11368,"Junction Blvd
Corona, NY 11368
(40.744939992, -73.86789004)"
Kings,Grocery,Fine Fare Supermarket,Mother Gaston Blvd,Brooklyn,NY,11212,"Mother Gaston Blvd
Brooklyn, NY 11212
(40.66436359, -73.905494313)"
Kings,Grocery,Aden Supermarket Llc,Flatlands Avenue,Brooklyn,NY,11236,"Flatlands Avenue
Brooklyn, NY 11236
(40.640211735, -73.90600239)"
Kings,Grocery,Fine Fare,Kingston Av,Brooklyn,NY,11213,"Kingston Av
Brooklyn, NY 11213
(40.672885122, -73.941867251)"
Queens,Grocery,Foodtown #590,Hillside Avenue,Hollis,NY,11423,"Hillside Avenue
Hollis, NY 11423
(40.715809986, -73.771550038)"
New York,Grocery,Central Market,Manhattan Ave,New York,NY,10025,"Manhattan Ave
New York, NY 10025
(40.797970763, -73.96197675)"
Bronx,Grocery,Food Universe,Louis Nine Boulevard,Bronx,NY,10459,"Louis Nine Boulevard
Bronx, NY 10459
(40.832771119, -73.892851364)"
Kings,Grocery,Sunny Star Grocery Inc,5th Ave Ground Flr,Brooklyn,NY,11220,"5th Ave Ground Flr
Brooklyn, NY 11220
(40.641173283, -74.014396236)"
Kings,Grocery,Shop Fair Supermarket Supermarkets,Arlington Avenue,Brooklyn,NY,11207,"Arlington Avenue
Brooklyn, NY 11207
(40.680020415, -73.890213601)"
Queens,Grocery,Fresh Fruit & Cafe Organic Inc.,Broadway,Astoria,NY,11106,"Broadway
Astoria, NY 11106
(40.763484339, -73.928562832)"
Kings,Grocery,Bsk Grocery Store Corp.,8th Avenue,Brooklyn,NY,11220,"8th Avenue
Brooklyn, NY 11220
(40.637397818, -74.007554402)"
Queens,Grocery,Western Beef #020,Merrick Blvd,Jamaica,NY,11434,"Merrick Blvd
Jamaica, NY 11434
(40.683689233, -73.769710209)"
Bronx,Grocery,Key Food,White Plains Road,Bronx,NY,10466,"White Plains Road
Bronx, NY 10466
(40.892130306, -73.858120818)"
Kings,Grocery,Los Vecinos Deli Corp.,Etna St,Brooklyn,NY,11208,"Etna St
Brooklyn, NY 11208
(40.686555352, -73.874694315)"
Bronx,Grocery,Felu Grocery Corp.,Burke Avenue,Bronx,NY,10469,"Burke Avenue
Bronx, NY 10469
(40.871173762, -73.852093824)"
New York,Grocery,Fine Fare Fresh,Broadway Suite 17,New York,NY,10033,"Broadway Suite 17
New York, NY 10033
(40.847681539, -73.9379936)"
Kings,Grocery,C & Y Grocery Inc,46th St,Brooklyn,NY,11220,"46th St
Brooklyn, NY 11220
(40.646667409, -74.006882553)"
Bronx,Grocery,Key Food,Gerard Avenue,Bronx,NY,10452,"Gerard Avenue
Bronx, NY 10452
(40.832901357, -73.921766509)"
Kings,Grocery,Green Acres Farms Inc.,Utica Ave,Brooklyn,NY,11203,"Utica Ave
Brooklyn, NY 11203
(40.650159197, -73.930216953)"
Kings,Grocery,"Bochner's Grocery, Llc",16th Av,Brooklyn,NY,11204,"16th Av
Brooklyn, NY 11204
(40.6259069, -73.99080976)"
