CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"924","3",Brooklyn,"092400","3092400",,Brownsville,BK1602,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047092400","4316",8447.42147149000,2709111.04061000003,Brooklyn,"36047092400","3628",1400000US36047092400,"Census Tract 924, Kings County, New York","39255000","8000048"
"930","3",Brooklyn,"093000","3093000",,East Flatbush-Remsen Village,BK1704,BK17,BK17 East Flatbush (CD 17 Approximation),"36047093000","4317",6635.84810769000,2090418.86394000007,Brooklyn,"36047093000","2567",1400000US36047093000,"Census Tract 930, Kings County, New York","104064900","21453879"
"932","3",Brooklyn,"093200","3093200",,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047093200","4317",6921.02031948000,3018449.49405999994,Brooklyn,"36047093200","1277",1400000US36047093200,"Census Tract 932, Kings County, New York","40027500","11408908"
"938","3",Brooklyn,"093800","3093800",,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047093800","4317",5280.36129775000,1411409.93027999997,Brooklyn,"36047093800","2662",1400000US36047093800,"Census Tract 938, Kings County, New York","88968000","16312847"
"944.01","3",Brooklyn,"094401","3094401",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047094401","4318",10033.57684250000,3906963.05850999989,Brooklyn,"36047094401","3447",1400000US36047094401,"Census Tract 944.01, Kings County, New York","125320800","41670862"
"944.02","3",Brooklyn,"094402","3094402",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047094402","4318",4373.55596800000,1150874.28600000008,Brooklyn,"36047094402","2810",1400000US36047094402,"Census Tract 944.02, Kings County, New York","51326700","9102447"
"946","3",Brooklyn,"094600","3094600",,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047094600","4317",8917.43684956000,3110120.37446000008,Brooklyn,"36047094600","2079",1400000US36047094600,"Census Tract 946, Kings County, New York","67370000","15197681"
"950","3",Brooklyn,"095000","3095000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047095000","4318",7974.17471824000,2612150.90558000002,Brooklyn,"36047095000","3170",1400000US36047095000,"Census Tract 950, Kings County, New York","93910400","14999172"
"956","3",Brooklyn,"095600","3095600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047095600","4318",8009.83316980000,2557814.04938000022,Brooklyn,"36047095600","4391",1400000US36047095600,"Census Tract 956, Kings County, New York","133455200","23250864"
"958","3",Brooklyn,"095800","3095800",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047095800","4318",6859.32547898000,2523362.20551999984,Brooklyn,"36047095800","3770",1400000US36047095800,"Census Tract 958, Kings County, New York","103614900","22127156"
"962","3",Brooklyn,"096200","3096200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047096200","4318",5460.11568158000,1920772.18017999991,Brooklyn,"36047096200","1701",1400000US36047096200,"Census Tract 962, Kings County, New York","45934500","17520550"
"964","3",Brooklyn,"096400","3096400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047096400","4318",5517.26300447000,1900792.38874999993,Brooklyn,"36047096400","2621",1400000US36047096400,"Census Tract 964, Kings County, New York","74175600","17630073"
"966","3",Brooklyn,"096600","3096600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047096600","4318",6518.29101130000,1950813.58843000000,Brooklyn,"36047096600","2353",1400000US36047096600,"Census Tract 966, Kings County, New York","58651900","9512587"
"968","3",Brooklyn,"096800","3096800",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047096800","4318",5097.84052736000,1603786.87373000011,Brooklyn,"36047096800","1555",1400000US36047096800,"Census Tract 968, Kings County, New York","43831400","16703331"
"970","3",Brooklyn,"097000","3097000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047097000","4318",5377.96140006000,1759315.56853000005,Brooklyn,"36047097000","2357",1400000US36047097000,"Census Tract 970, Kings County, New York","82312200","17582158"
"974","3",Brooklyn,"097400","3097400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047097400","4318",7198.09557528000,2712076.61346000014,Brooklyn,"36047097400","2911",1400000US36047097400,"Census Tract 974, Kings County, New York","68603800","13980757"
"982","3",Brooklyn,"098200","3098200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047098200","4318",8952.01371050000,3723765.59586999984,Brooklyn,"36047098200","4076",1400000US36047098200,"Census Tract 982, Kings County, New York","71578900","24585380"
"984","3",Brooklyn,"098400","3098400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047098400","4318",4686.58617415000,1214786.59603999997,Brooklyn,"36047098400","2074",1400000US36047098400,"Census Tract 984, Kings County, New York","71937200","17037986"
"986","3",Brooklyn,"098600","3098600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047098600","4318",5278.87711560000,1677791.73109999998,Brooklyn,"36047098600","2814",1400000US36047098600,"Census Tract 986, Kings County, New York","86481600","18574642"
"988","3",Brooklyn,"098800","3098800",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047098800","4318",5359.19782411000,1743233.07517999993,Brooklyn,"36047098800","3083",1400000US36047098800,"Census Tract 988, Kings County, New York","94667600","17378628"
"990","3",Brooklyn,"099000","3099000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047099000","4318",5378.75402937000,1762100.75514000002,Brooklyn,"36047099000","1652",1400000US36047099000,"Census Tract 990, Kings County, New York","52381900","11764470"
"992","3",Brooklyn,"099200","3099200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047099200","4318",5262.82478666000,1448961.15207999991,Brooklyn,"36047099200","2056",1400000US36047099200,"Census Tract 992, Kings County, New York","71456000","16925713"
"994","3",Brooklyn,"099400","3099400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047099400","4318",5763.48484374000,1872516.84171000007,Brooklyn,"36047099400","2116",1400000US36047099400,"Census Tract 994, Kings County, New York","63958900","13238842"
"1004","3",Brooklyn,"100400","3100400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047100400","4318",4996.86858422000,1421504.28196000005,Brooklyn,"36047100400","2901",1400000US36047100400,"Census Tract 1004, Kings County, New York","86733900","17022972"
"1006","3",Brooklyn,"100600","3100600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047100600","4318",5220.14981344000,1637144.02667999989,Brooklyn,"36047100600","2662",1400000US36047100600,"Census Tract 1006, Kings County, New York","86160600","16008833"
"1008","3",Brooklyn,"100800","3100800",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047100800","4318",5432.52851050000,1602833.09042000002,Brooklyn,"36047100800","2189",1400000US36047100800,"Census Tract 1008, Kings County, New York","64504600","12291884"
"1010","3",Brooklyn,"101000","3101000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101000","4318",5605.21554009000,1844400.80373999989,Brooklyn,"36047101000","2605",1400000US36047101000,"Census Tract 1010, Kings County, New York","72121800","13284626"
"1012","3",Brooklyn,"101200","3101200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101200","4318",5338.74337485000,1730658.08009000006,Brooklyn,"36047101200","2115",1400000US36047101200,"Census Tract 1012, Kings County, New York","80230700","14027159"
"1014","3",Brooklyn,"101400","3101400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101400","4318",5259.87703383000,1668038.39207000006,Brooklyn,"36047101400","2268",1400000US36047101400,"Census Tract 1014, Kings County, New York","75688400","10452998"
"1016","3",Brooklyn,"101600","3101600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101600","4318",4674.60847522000,1210060.23600000003,Brooklyn,"36047101600","1551",1400000US36047101600,"Census Tract 1016, Kings County, New York","61912700","15795363"
"1018","3",Brooklyn,"101800","3101800",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101800","4318",14375.58066050000,2623263.45818000007,Brooklyn,"36047101800","2030",1400000US36047101800,"Census Tract 1018, Kings County, New York","95892100","28525634"
"1020","3",Brooklyn,"102000","3102000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102000","4318",5294.22317640000,1690995.00912000006,Brooklyn,"36047102000","2186",1400000US36047102000,"Census Tract 1020, Kings County, New York","90202400","19290357"
